=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.19 17:00:15 =~=~=~=~=~=~=~=~=~=~=~=
PWM Percent: 0.00%, Thrust: -0.05lbs, Moment: -0.03lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.05lbs, Moment: -0.03lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.05lbs, Moment: -0.02lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.04lbs, Moment: -0.25lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.06lbs, Moment: -0.04lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.01lbs, Moment: -0.01lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.04lbs, Moment: -0.03lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.04lbs, Moment: -0.02lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.02lbs, Moment: -0.03lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.03lbs, Moment: -0.02lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.02lbs, Moment: -0.01lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.03lbs, Moment: -0.03lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.94lbs, Moment: -1.64lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.02lbs, Moment: -0.02lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.02lbs, Moment: -0.01lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.06lbs, Moment: -0.05lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.36lbs, Moment: -0.63lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.05lbs, Moment: -0.04lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.03lbs, Moment: -0.02lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -5.07lbs, Moment: -2.42lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.03lbs, Moment: -0.02lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.02lbs, Moment: -0.01lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.06lbs, Moment: -0.04lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -3.00lbs, Moment: -2.06lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.12lbs, Moment: -0.03lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -1.09lbs, Moment: -3.41lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.84lbs, Moment: -0.34lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.35lbs, Moment: -1.66lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -4.73lbs, Moment: -3.76lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.99lbs, Moment: -0.81lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -5.76lbs, Moment: -4.98lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -3.44lbs, Moment: -2.82lbs, Battery Voltage: 26.00V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: -0.29lbs, Moment: -0.16lbs, Battery Voltage: 25.97V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: -4.97lbs, Moment: -3.57lbs, Battery Voltage: 26.00V, Current: 3.07A, RPM: 0
